Date,ProductInfo,DaySession,NightSession,ExchangeTimezone
20010101,a.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,ag.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,al.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,au.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,b.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,bb.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,bu.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,c.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,CF.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,cs.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,cu.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,ER.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,fb.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,FG.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,fu.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,hc.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,i.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,IC.CFFEX,091500-113000&130000-150000,,210
20010101,IF.CFFEX,091500-113000&130000-150000,,210
20010101,IH.CFFEX,091500-113000&130000-150000,,210
20010101,j.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,jd.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,jm.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,JR.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,l.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,LR.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,m.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,MA.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,ME.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,MMIC.CFFEX,093000-113000&130000-150000,,210
20010101,MMIF.CFFEX,093000-113000&130000-150000,,210
20010101,MMIH.CFFEX,093000-113000&130000-150000,,210
20010101,ni.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,OI.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,p.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,pb.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,PM.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,pp.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,rb.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,RI.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,RM.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,RO.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,RS.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,ru.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,SF.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,SM.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,sn.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,SR.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,T.CFFEX,091500-113000&130000-150000,,210
20010101,TA.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,TC.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,TF.CFFEX,091500-113000&130000-150000,,210
20010101,v.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,WH.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,wr.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,WS.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,WT.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,y.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,ZC.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,zn.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,HHI.HKEX,091500-120000&130000-160000,,210
20010101,HSI.HKEX,091500-120000&130000-160000,,210
20010101,CUS.HKEX,090000-161500,,210
20010101,CHH.HKEX,091500-120000&130000-161500,,210
20010101,101.KRX,090000-150000,,230
20010101,NK.SGXQ,074500-140000,,215
20010101,TW.SGXQ,084500-134500,,215
20010101,IN.SGXQ,091500-153000,,190
20010101,CN.SGXQ,090000-155500,,215
20010101,JB.SGXQ,074500-171000,,215
20010101,TF.SGXQ,075500-180000,,215
20010101,UC.SGXQ,074000-175500,,215
20010101,CY.SGXQ,074000-175500,,215
20010101,FEF.SGXQ,080000-200000,,215
20010101,MXMY.SGXQ,083000-172500,,215
20010101,S50.TFEX,094500-123000&141500-165500,,205
20010101,S_AP.SFE,095000-163000,,255
20010101,FCPO.BMD,103000-123000&150000-180000,,215
20010101,FPOL.BMD,090000-120000&133000-180000,,215
20010101,FKLI.BMD,084500-124500&143000-171500,,215
20010101,RSS3.TOCOM,080000-143000,,235
20010101,6A.CME,072000-140000,,20
20010101,6B.CME,072000-140000,,20
20010101,6C.CME,072000-140000,,20
20010101,6E.CME,072000-140000,,20
20010101,6J.CME,072000-140000,,20
20010101,6M.CME,072000-140000,,20
20010101,6S.CME,072000-140000,,20
20010101,HO.CME,090000-143000,,35
20010101,NG.CME,090000-143000,,35
20010101,CL.CME,090000-143000,,35
20010101,RB.CME,090000-143000,,35
20010101,ES.CME,070000-200000,,210
20010101,NQ.CME,083000-151500,,20
20010101,YM.CME_CBT,083000-151500,,20
20010101,SP.CME,083000-151500,,20
20010101,ZC.CME_CBT,093000-131500,,20
20010101,ZO.CME_CBT,093000-131500,,20
20010101,ZS.CME_CBT,093000-131500,,20
20010101,ZW.CME_CBT,093000-131500,,20
20010101,HG.CME,081000-130000,,35
20010101,GC.CME,082000-133000,,35
20010101,SI.CME,082500-132500,,35
20010101,PA.CME,083000-130000,,35
20010101,PL.CME,082000-130500,,35
20160104,MMIC.CFFEX,093000-113000&130000-150000,,210
20160104,MMIF.CFFEX,093000-113000&130000-150000,,210
20160104,MMIH.CFFEX,093000-113000&130000-150000,,210
20160104,IC.CFFEX,093000-113000&130000-150000,,210
20160104,IF.CFFEX,093000-113000&130000-150000,,210
20160104,IH.CFFEX,093000-113000&130000-150000,,210
